V1,V2,V3,V4,V5,V6,V7,V8
0.198779888255212,0.000115192172307016,0.188451917458559,0.692309030742568,0.513932848358677,0.0169234884204319,0.011032660380265,2.29009898188283e-05
0.85334239171417,0.0557277021540643,0.91935849043075,0.101989187737227,0.0731223199345981,0.000385671855880921,0.757277458798469,0.934906042988933
0.0061882444965757,0.768971244551753,0.520480478634924,0.435204532478912,0.689902823072741,0.646344470172969,0.387737084164159,0.667662749469733
0.128606929313944,0.0599415685296721,0.65506204995633,0.21985840960561,0.410642129512918,0.693270716154331,0.738822894645037,0.849586192142287
0.30932443722481,0.440388187296586,0.280283471730019,0.412030963647198,0.455161587574724,1.39950633493093e-05,0.0173725432451739,1.69899533071627e-05
0.0782710501915658,0.0162797245271148,0.0137680468891862,0.142163108328747,0.0269036576016767,0.0188766362994469,0.000223415865585182,0.00497170641217825
0.851752756339023,0.58064266917511,0.269132994905349,0.00241540514901388,0.732973019047213,0.00594156993249461,0.478530900210119,0.870090273396298
0.17666151898969,0.107365537465587,0.0028441135295306,0.153499354099964,0.0247096355072125,0.840126681368941,0.985003367975533,0.404625244188181
0.457823891108466,0.766947041649108,0.02068245122681,0.784730821790862,0.633681948376616,0.000435228565281683,0.445994716438285,0.736434848940459
0.213550135001291,0.000834069019904248,0.842046289923248,0.119443147330548,0.896749300027205,0.0786983333682933,0.00152233823333813,0.614411379450789
0.0948916244876548,0.0988271043672813,0.539262816394229,0.574507335648514,0.098015307607884,0.261855045405407,0.00222338603545077,0.103048790900788
0.489296361475493,0.941028473107546,0.307835805537573,0.316877050729285,0.727578463286614,2.34462817742985e-06,0.807869357640594,0.432362360799285
0.600021369888197,0.734254626308707,0.800173733754744,0.485722402700683,0.234410864297461,0.0210763034981942,0.806856919398248,0.438863394557565
0.0189247412255619,0.44193160784107,0.302695404325656,0.11226942350492,0.679334749870514,0.780974638458942,0.743142360468549,0.365910917384538
0.944770708119363,0.769399207687484,0.127500788738596,0.691464269332851,0.0592020608556944,1.51802930730605e-05,4.37576594013584e-06,0.807675444665847
0.139017811647663,0.224627609278961,0.0645550457119466,0.295564219145787,0.133201386845934,0.554658531398295,0.150514385877147,0.421947186002658
0.540731896247859,0.720057342115399,0.112542470195283,0.164540996961886,0.86184731890414,0.192804497315707,0.962191888771125,0.80005476506517
0.154911293167763,0.0131885954130573,0.0295469301393882,0.427569912101905,0.596183863966124,0.00133085245134715,0.00020573673987842,0.89374931492819
0.372619244243972,0.823429983842002,0.656987767148545,0.821272407419587,0.0452804936880312,0.000532012104761431,0.556744165263283,0.876841224982315
0.130451235284814,0.468135612227396,0.257076849615646,0.115919185482504,0.100242651380183,5.87047117902152e-06,0.450455610612504,0.0522581607729548
0.606962730436359,0.0822729621251854,0.305191976583461,0.51064903038461,0.552677167848027,0.018795257047219,0.000354268900952244,0.491150498658944
